size=1, min T=32
size=2, min T=32
size=3, min T=32
size=4, min T=32
size=5, min T=32
size=6, min T=32
size=7, min T=32
size=8, min T=32
size=9, min T=32
size=10, min T=32
size=11, min T=32
size=12, min T=32
size=13, min T=33
size=14, min T=33
size=15, min T=33
size=16, min T=34
size=17, min T=34
size=18, min T=34
size=19, min T=34
size=20, min T=34
size=21, min T=34
size=22, min T=34
size=23, min T=34
size=24, min T=34
size=25, min T=34
size=26, min T=34
size=27, min T=35
size=28, min T=35
size=29, min T=35
size=30, min T=35
size=31, min T=35
size=32, min T=36
size=33, min T=36
size=34, min T=36
size=35, min T=36
size=36, min T=36
size=37, min T=36
size=38, min T=37
size=39, min T=37
size=40, min T=38
size=41, min T=39
size=42, min T=39
size=43, min T=40
size=44, min T=41
size=45, min T=41
size=46, min T=42
size=47, min T=43
size=48, min T=43
size=49, min T=44
size=50, min T=45
size=51, min T=45
size=52, min T=46
size=53, min T=47
size=54, min T=48
size=55, min T=48
size=56, min T=49
size=57, min T=50
size=58, min T=50
size=59, min T=51
size=60, min T=52
size=61, min T=52
size=62, min T=53
size=63, min T=54
size=64, min T=55
size=65, min T=55
size=66, min T=56
size=67, min T=57
size=68, min T=57
size=69, min T=58
size=70, min T=59
size=71, min T=60
size=72, min T=60
size=73, min T=61
size=74, min T=62
size=75, min T=62
size=76, min T=63
size=77, min T=64
size=78, min T=65
size=79, min T=65
size=80, min T=66
size=81, min T=67
size=82, min T=67
size=83, min T=68
size=84, min T=69
size=85, min T=70
size=86, min T=70
size=87, min T=71
size=88, min T=72
size=89, min T=72
size=90, min T=73
size=91, min T=74
size=92, min T=75
size=93, min T=75
size=94, min T=76
size=95, min T=77
size=96, min T=78
size=97, min T=78
size=98, min T=79
size=99, min T=80
size=100, min T=81
